uuid,title,author,abstract,Keywords,label
10,Construction of a novel plasmid for an industrial yeast Candida glycerinogenes by dual-autonomously replicating sequence strategy,"Dejin Dong,Xinyi Wang,Hong Zong,Xinyao Lu,Bin Zhuge,Dejin Dong,Xinyi Wang,Hong Zong,Xinyao Lu,Bin Zhuge","Due to the lack of available episomal plasmid, the improvement of many industrial strains, especially exogenous gene expression, is severely restricted. The failure of autonomous replication or low copy number of episomal plasmids is the main reason for the failure of many episomal plasmids construction. In this paper, Candida glycerinogenes, an industrial strain lacking episomal plasmids, was employed as the topic. A series of GFP-based plasmids containing autonomously replicating sequence (ARS) from different strain sources were constructed and analyzed for performance, and it was found that only the panARS from Kluyveromyces lactis compared with other nine low capacity ARSs proved to have the best performance and could be used to construct episomal plasmid. Further, the dual-ARS strategy was used to optimize the episomal plasmid, and the results indicated that only the dual-ARS plasmid +PPARS2 with double different ARSs, not the dual-ARS plasmid +panARS with double same ARSs, showed an improvement in all properties, with an increase in transformation efficiency of about 36% and a synchronous trend of fluorescence intensity and copy number, both by about 40%. In addition, constructed episomal plasmids were used to express the exogenous gene CrGES, and the fact that geraniol was found proved the versatility of the plasmids. The successful construction of episomal plasmids will also substantially facilitate genetic engineering research and industrial use of C. glycerinogenes in the future, as well as providing a feasible approach to create episomal plasmids for industrial strains.",Autonomously replicating sequence; Candida glycerinogenes; Dual-autonomously replicating sequence strategy; Episomal plasmid; Geraniol.,1
11,Flagellum tapering and midpiece volume in songbird spermatozoa,"Emily R A Cramer,Gaute Grønstøl,Jan T Lifjeld,Emily R A Cramer,Gaute Grønstøl,Jan T Lifjeld","In contrast to numerous studies on spermatozoa length, relatively little work focuses on the width of spermatozoa, and particularly the width of the midpiece and flagellum. In flagellated spermatozoa, the flagellum provides forward thrust while energy may be provided via mitochondria in the midpiece and/or through glycolysis along the flagellum itself. Longer flagella may be able to provide greater thrust but may also require stronger structural features and more or larger mitochondria to supply sufficient energy. Here, we use scanning electron microscopy to investigate the ultrastructure of spermatozoa from 55 passerine species in 26 taxonomic families in the Passerides infraorder. Our data confirm the qualitative observation that the flagellum tapers along its length, and we show that longer flagella are wider at the neck. This pattern is similar to mammals, and likely reflects the need for longer cells to be stronger against shearing forces. We further estimate the volume of the mitochondrial helix and show that it correlates well with midpiece length, supporting the use of midpiece length as a proxy for mitochondrial volume, at least in between-species studies where midpiece length is highly variable. These results provide important context for understanding the evolutionary correlations among different sperm cell components and dimensions.",Passerides; mitochondrion; postcopulatory sexual selection; scanning electron microscopy; sperm morphology; sperm motility; sperm ultrastructure.,1
12,Contactless Biometric Identification Using 3D Finger Knuckle Patterns,"Cheng, Kevin H. M.; Kumar, Ajay","Study on finger knuckle patterns has attracted increasing attention for the automated biometric identification. However, finger knuckle pattern is essentially a 3D biometric identifier and the usage or availability of only 2D finger knuckle databases in the literature is the key limitation to avail full potential from this biometric identifier. This paper therefore introduces (first) contactless 3D finger knuckle database in public domain, which is acquired from 130 different subjects in two-session imaging using photometric stereo approach. This paper investigates on the 3D information from the finger knuckle patterns and introduces a new feature descriptor to extract discriminative 3D features for more accurate 3D finger knuckle matching. An individuality model for the proposed feature descriptor is also presented. Comparative experimental results using the state-of-the-art feature extraction methods on this challenging 3D finger knuckle database validate the effectiveness of our approach. Although our feature descriptor is designed for 3D finger knuckle patterns, it is also attractive for other hand-based biometric identifiers with similar patterns such as the palmprint and fingerprint. This observation is validated from the outperforming results, using the state-of-the-art pixel-wise 3D palmprint and 3D fingerprint feature descriptors, on other publicly available datasets.",Three-dimensional displays; Two dimensional displays; Thumb; Fingerprint recognition; Databases; Feature extraction; Biometrics; finger knuckle identification; 3d finger dorsal matching; contactless hand identification,0
13,Kolmogorov's Theory of Computer Science,"Levashkin, S.; Alexandrov, V.; Guzman, A.","In the present work, we follow in chronological order the ideas, contributions and discoveries of the greatest Russian mathematician Andrei Kolmogorov in Computer Science. We interpret such Kolmogorov's concepts as algorithm, complexity, komputer mathematics, machine, in the context of the state-of-the art information theories and technologies. We conclude that in broad sense these theories and technologies follow the ways sketched and predicted by Kolmogorov about half century ago.",Algorithm; Algorithmic Theory of Information; Complexity; Information Theory; Information Technology; Quantitative Measure of Information; Theoretical Computer Science,0
14,Curved scene text detection via transverse and longitudinal sequence connection,"Liu, Yuliang; Jin, Lianwen; Zhang, Shuaitao; Luo, Canjie; Zhang, Sheng","Curved text detection is a difficult problem that has not been addressed sufficiently. To highlight the difficulties in reading curved text in a real environment, we constructed a curved text dataset called CTW1500, which includes over 10,000 text annotations in 1500 images, and used it to formulate a polygon-based curved text detector that can detect curved text without using an empirical combination. With the seamless integration of recurrent transverse and longitudinal offset connection, our method explores context information instead of predicting points independently, resulting in smoother and more accurate detection. Our approach is designed as a universal method, meaning it can be trained using rectangular or quadrilateral bounding boxes, requiring no extra effort. Experimental results on the CTW1500 dataset and Total-text demonstrated that our method with only a light backbone can outperform stateof-the-art methods by a large margin. Our method also achieved state-of-the-art performance on the MSRA-TD500 dataset, demonstrating its promising generalization ability. Code, datasets, and label-tool are available at https://github.com/Yuliang-Liu/Curve-Text-Detector. (C) 2019 The Authors. Published by Elsevier Ltd.",Scene text; Curved dataset; LSTM; CNN; Deep learning,0
15,The Presence and Profile of Neurological Conditions and Associated Psychiatric Comorbidities in U.S. Resettled Refugees: A Retrospective Single Center Study,"A Parvez,S Percac-Lima,A Saadi,A Parvez,S Percac-Lima,A Saadi","Refugees are a vulnerable, growing population who confront a myriad of traumas leading to their forced migration. Although psychiatric illnesses of resettled refugees are well-documented, there is a paucity of studies characterizing their neurological disease profiles. This study aimed to characterize the frequency and range of neurological disorders in a sample of resettled refugees receiving care at a community health center in Massachusetts, U.S.A. We performed a retrospective medical record review of adult (≥ 18 years) resettled refugees between May 2001 and December 2012 at a community health center in Northeast Massachusetts. Sociodemographic and clinical characteristics pertaining to neuropsychiatric health were collected from medical records using a standardized data extraction tool. Group comparisons between those with and without neurological illness and associated sociodemographic and psychiatric characteristics were evaluated using χ2 and independent samples two-tailed t-tests. In our sample (n = 779), 53.3% (n = 415) were male and 48.8% (n = 380) were from the African continent. The mean age was 33.2 ± 12.4 years (range 18-85). 36.8% were diagnosed with at least one neurological disorder and 18.1% with more than one neurological illness. The most common diagnoses were headaches (28.3%), sleep disorders (11.2%), cognitive impairment/ dementia (5.5%), and head trauma (5.5%). Exploratory analyses revealed that participants with neurological illness were more likely to be older (p < .001), female (p = .002), and diagnosed with co-morbid psychiatric diagnoses (p < .001) than those without neurological illness. Neurological disorders frequently co-occur with psychiatric comorbidities among U.S. resettled adult refugees. Standard refugee health assessments should incorporate screening and treatment for neurological illnesses.",Health disparity; Migration; Neurology; Refugee health.,1
16,Multiple instance learning on deep features for weakly supervised object detection with extreme domain shifts,"Nicolas, Gonthier; Ladjal, Said; Gousseau, Yann","Weakly supervised object detection (WSOD) using only image-level annotations has attracted a growing attention over the past few years. Whereas such task is typically addressed with a domain-specific solution focused on natural images, we show that a simple multiple instance approach applied on pre-trained deep features yields excellent performances on non-photographic datasets, possibly including new classes. The approach does not include any fine-tuning or cross-domain learning and is therefore efficient and possibly applicable to arbitrary datasets and classes. We investigate several flavors of the proposed approach, some including multi layers perceptron and polyhedral classifiers. Despite its simplicity, our method shows competitive results on a range of publicly available datasets, including paintings (People-Art, IconArt), watercolors, cliparts and comics and allows to quickly learn unseen visual categories.",Deep learning; Convolutional neural networks; Weakly supervised object detection; Non-photographic images; Art analysis; Multiple instance learning,0
17,Group-Wise Registration of Point Sets for Statistical Shape Models,"Rasoulian, Abtin; Rohling, Robert; Abolmaesumi, Purang","This paper presents a novel, fast, group-wise registration technique based on establishing soft correspondences between groups of point sets. The registration approach is used to create a statistical shape model, capable of learning the shape variations within a training set. The shape model consists of a mean shape and its transformations to all training shapes. We decouple the procedure into two steps: updating the mean shape and registering it to the training shapes. The algorithm alternates between these two steps until convergence. Following the generation of the statistical shape model, we use the soft correspondence approach to register the model to a new observation. We perform extensive experiments on two data sets: lumbar spine and hippocampi. We compare our algorithm to available state-of-the-art group-wise registration algorithms including feature-based and volume-based approaches. We demonstrate improved generalization, specificity and compactness compared to these algorithms.",Gaussian mixture model; group-wise registration; statistical shape model,1
18,Overcoming Electrostatic Interaction via Strong Complexation for Highly Selective Reduction of CN- into N2,"Lei Tian,Long-Shuai Zhang,Ling-Ling Zheng,Ying Chen,Lin Ding,Jie-Ping Fan,Dai-She Wu,Jian-Ping Zou,Sheng-Lian Luo,Lei Tian,Long-Shuai Zhang,Ling-Ling Zheng,Ying Chen,Lin Ding,Jie-Ping Fan,Dai-She Wu,Jian-Ping Zou,Sheng-Lian Luo","Limited by the electrostatic interaction, the oxidation reaction of cations at the anode and the reduction reaction of anions at the cathode in the electrocatalytic system nearly cannot be achieved. This study proposes a novel strategy to overcome electrostatic interaction via strong complexation, realizing the electrocatalytic reduction of cyanide (CN- ) at the cathode and then converting the generated reduction products into nitrogen (N2 ) at the anode. Theoretical calculations and experimental results confirm that the polarization of the transition metal oxide cathodes under the electric field causes the strong chemisorption between CN- and cathode, inducing the preferential enrichment of CN- to the cathode. CN- is hydrogenated by atomic hydrogen at the cathode to methylamine/ammonia, which are further oxidized into N2 by free chlorine derived from the anode. This paper provides a new idea for realizing the unconventional and unrealizable reactions in the electrocatalytic system.",Cyanide; Electrocatalytic System; Electrostatic Interaction; Hydrogenation; Nitrogen.,1
19,Planar thinned array design by hybrid analytical-stochastic optimisation,"Salucci, Marco; Gottardi, Giorgio; Anselmi, Nicola; Oliveri, Giacomo","The integration of analytical strategies and global optimisation techniques is proposed to address the limitations of current almost difference sets (ADSs) methods for thinning planar apertures. Three design problems associated to these limitations are formulated and the customisation of the optimisation operators to exploit the a-priori information provided by ADS sequences is presented. A numerical validation, including full-wave simulations and comparisons with state-of-the-art methods, is illustrated.",planar antenna arrays; optimisation; planar thinned array design; hybrid analytical-stochastic optimisation; almost difference set method; ADS sequences; full-wave simulations,0
20,Genetic resistance to infections in sheep,"S C Bishop,S C Bishop","This paper considers genetic resistance to infectious disease in sheep, with appropriate comparison with goats, and explores how such variation may be used to assist in disease control. Many studies have attempted to quantify the extent to which host animals differ genetically in their resistance to infection or in the disease side-effects of infection, using either recorded animal pedigrees or information from genetic markers to quantify the genetic variation. Across all livestock species, whenever studies are sufficiently well powered, then genetic variation in disease resistance is usually seen and such evidence is presented here for three infections or diseases of importance to sheep, namely mastitis, foot rot and scrapie. A further class of diseases of importance in most small ruminant production systems, gastrointestinal nematode infections, is outside the scope of this review. Existence of genetic variation implies the opportunity, at least in principle, to select animals for increased resistance, with such selection ideally used as part of an integrated control strategy. For each of the diseases under consideration, evidence for genetic variation is presented, the role of selection as an aid to disease control is outlined and possible side effects of selection in terms of effects in performance, effects on resistance to other diseases and potential parasite/pathogen coevolution risks are considered. In all cases, the conclusion is drawn that selection should work and it should be beneficial, with the main challenge being to define cost effective selection protocols that are attractive to sheep farmers.",Foot rot; Mastitis; Quantitative genetics; Scrapie.,1
21,Multi-Source Multi-Destination Hybrid Infrastructure-Aided Traffic Aware Routing in V2V/I Networks,"Ivanescu, Teodor; Yetgin, Halil; Merrett, Geoff V.; El-Hajjar, Mohammed","The concept of the ""connected car "" offers the potential for safer, more enjoyable and more efficient driving and eventually autonomous driving. However, in urban Vehicular Networks (VNs), the high mobility of vehicles along roads poses major challenges to the routing protocols needed for a reliable and flexible vehicular communications system. Thus, urban VNs rely on static Road-Side-Units (RSUs) to forward data and to extend coverage across the network. In this paper, we first propose a new Q-learning-based routing algorithm, namely Infrastructure-aided Traffic-Aware Routing (I-TAR), which leverages the static wired RSU infrastructure for packet forwarding. Then, we focus on the multi-source, multi-destination problem and the effect this imposes on node availability, as nodes also participate in other communications paths. This motivates our new hybrid approach, namely Hybrid Infrastructure-aided Traffic Aware Routing (HI-TAR) that aims to select the best Vehicle-to-Vehicle/Infrastructure (V2V/I) route. Our findings demonstrate that I-TAR can achieve up to 19% higher average packet-delivery-ratio (APDR) compared to the state-of-the-art. Under a more realistic scenario, where node availability is considered, a decline of up to 51% in APDR performance is observed, whereas the proposed HI-TAR in turn can increase the APDR performance by up to 50% compared to both I-TAR and the state-of-the-art. Finally, when multiple source-destination vehicle pairs are considered, all the schemes that model and consider node availability, i.e. limited-availability, achieve from 72.2% to 82.3% lower APDR, when compared to those that do not, i.e. assuming full-availability. However, HI-TAR still provides 34.6% better APDR performance than I-TAR, and similar to 40% more than the state-of-the-art.",Vehicular networks; V2V/I; q-learning; traffic aware routing; quality of service,0
22,Digital camera identification by fingerprint's compact representation,"Bernacki, Jaroslaw","In this paper we deal with the issue of digital camera identification (DCI) based on images. This area matches the digital forensics (DF) research. This topic has attracted many researchers and number of algorithms for DCI have been proposed. However, majority of them focus only on camera identification with high accuracy without taking into account the speed of image processing. In this paper we propose an effective algorithm for much faster camera identification than state-of-the-art algorithms. Experimental evaluation conducted on two large image datasets including almost 14.000 images confirms that the proposed algorithm achieves high classification accuracy of 97 [%] in much shorter time compared with state-of-the-art algorithms which obtained 92.0 - 96.0 [%]. We also perform a statistical analysis of obtained results which confirms their reliability.",Camera identification; Digital forensics; Hardwaremetry; Individual source camera identification; Sensor identification,0
23,A Screening of Antimalarials Extends the Range of Known Escherichia coli AcrB Efflux Substrates and Reveals Two Candidates with Antimicrobial Drug-Enhancing Activity,"Sabine Schuster,Martina Vavra,Winfried V Kern,Sabine Schuster,Martina Vavra,Winfried V Kern","Efflux by resistance nodulation cell division transporters, such as AcrAB-TolC in Escherichia coli, substantially contributes to the development of Gram-negative multidrug resistance. Therefore, the finding of compounds that counteract efflux is an urgent goal in the fight against infectious diseases. Previously, an efflux inhibitory activity of the antimalarials mefloquine and artesunate was reported. In this study, we have investigated further antimalarials regarding efflux by AcrB, the pumping part of AcrAB-TolC, and their drug-enhancing potency in E. coli. We show that 10 of the 24 drugs tested are substrates of the multidrug efflux pump AcrB. Among them, tafenoquine and proguanil, when used at subinhibitory concentrations, caused an at least 4- and up to 24-fold enhancement in susceptibility to 6 and 14 antimicrobial agents, respectively. Both antimalarials are able to increase the intracellular accumulation of Hoechst 33342, with proguanil showing similar effectiveness as the efflux inhibitor 1-(1-naphthylmethyl)piperazine. In the case of proguanil, AcrB-dependent efflux inhibition could also be demonstrated in a real-time efflux assay. In addition to presenting new AcrB substrates, our study reveals two previously unknown efflux inhibitors among antimalarials. Particularly proguanil appears as a promising candidate and its chemical scaffold might be further optimized for repurposing as antimicrobial drug enhancer.",AcrB substrates; antimalarials; efflux pump inhibitor; multidrug resistance; repurposing.,1
